po_number,vendor,order_date,po_quantity,po_unit_price,approved_by,promised_delivery_date
PO1664,Orion Business Services,28/02/2026,293,16.89,Laura Schmidt,21/03/2026
PO1665,PrimeLine Manufacturing,18/05/2026,361,174.04,Andreas Weber,30/05/2026
PO1666,BrightWave Electronics,18/03/2026,50,81.99,Marta Nowak,24/03/2026
PO1667,Apex Distribution,27/05/2026,471,105.78,Emma Johansson,05/06/2026
PO1668,Shift Cargo,25/04/2026,98,190.07,Lukas Müller,06/05/2026
PO1669,Compass Crate,02/02/2026,31,87.56,Felix Bauer,20/02/2026
PO1670,Compass Crate,07/02/2026,437,121.03,Elena Petrova,14/02/2026
PO1671,Zenith Freight,10/04/2026,294,82.48,Elena Petrova,23/04/2026
PO1672,Continental Solutions,28/04/2026,479,175.33,Marta Nowak,19/05/2026
PO1673,PrimeLine Manufacturing,29/01/2026,222,34.18,Emma Johansson,06/02/2026
PO1674,Apex More,25/05/2026,409,24.69,,10/06/2026
PO1675,PrimeLine Manufacturing,09/03/2026,206,132.68,Emma Johansson,29/03/2026
PO1676,BlueLine Logistics,14/02/2026,151,83.58,Thomas Lefèvre,03/03/2026
PO1677,BlueLine Logistics,12/04/2026,465,176.4,Marta Nowak,24/04/2026
PO1678,SameDay,02/05/2026,481,57.37,Jakub Novák,07/05/2026
PO1679,BlueRiver Logistics,19/03/2026,169,59.67,Andreas Weber,27/03/2026
PO1680,Anchor,04/02/2026,163,194.97,Ingrid Hansen,19/02/2026
PO1681,Vanguard,17/04/2026,319,130.88,Sofia Rossi,06/05/2026
PO1682,Wayfinder Logistics,15/04/2026,389,99.47,Clara Silva,01/05/2026
PO1683,SameDay,12/05/2026,415,36,Nicolas Dubois,02/06/2026
PO1684,GlobalTrade Europe,04/02/2026,409,171,Emma Johansson,09/02/2026
PO1685,Quantum Express,19/02/2026,458,167.42,A. Nagy,03/03/2026
PO1686,BlueLine Logistics,27/04/2026,35,184.02,Marta Nowak,08/05/2026
PO1687,Vanguard,05/04/2026,431,95.52,Laura Schmidt,13/04/2026
PO1688,Vantage Partners,08/01/2026,133,77.63,Thomas Lefèvre,27/01/2026
PO1689,Quantum Express,02/05/2026,310,112.51,Jakub Novák,12/05/2026
PO1690,Steadfast,24/01/2026,155,10.35,A. Nagy,03/02/2026
PO1691,DeltaPro Industries,24/02/2026,448,48.16,Mateo García,07/03/2026
PO1692,Vanguard,15/04/2026,272,8.91,Eva Andersson,20/04/2026
PO1693,BrightWave Electronics,03/02/2026,341,38.77,J. Kovacs,15/02/2026
PO1694,Steadfast,20/03/2026,374,193.57,Katarina Jovanović,02/04/2026
PO1695,SilverOak Consulting,07/04/2026,446,73,Anna Kowalska,18/04/2026
PO1696,Titan Machinery Group,19/03/2026,356,106.52,,05/04/2026
PO1697,Orion Business Services,27/01/2026,13,104.75,Felix Bauer,12/02/2026
PO1698,Helix Innovations,14/03/2026,162,138.46,Andreas Weber,21/03/2026
PO1699,BlueRiver Logistics,12/03/2026,337,68.4,Anna Kowalska,25/03/2026
